0.870335	0.974689	0.98698
0.959582	0.98836	0.986829
0.94938	0.981362	0.986672
0.939258	0.976574	0.986289
0.932107	0.971447	0.985597
0.927733	0.967313	0.984629
0.924611	0.963726	0.98345
0.921331	0.960086	0.982071
0.91701	0.956038	0.980488
0.910825	0.951096	0.978668
0.902135	0.944952	0.976599
0.890204	0.937428	0.974305
0.874439	0.928489	0.971914
0.855134	0.918451	0.96962
0.834083	0.908199	0.967659
0.813717	0.898733	0.966164
0.795643	0.890424	0.965146
0.780558	0.883229	0.96448
0.770677	0.878755	0.964058
0.764903	0.876282	0.963789
0.761286	0.874568	0.963607
0.759145	0.873332	0.963483
0.757908	0.872328	0.9634
0.757017	0.871262	0.96336
0.756396	0.870224	0.963364
0.756661	0.869843	0.963368
0.757292	0.869709	0.963376
0.75805	0.86966	0.963387
0.758903	0.869669	0.963402
0.759808	0.869732	0.963416
0.760734	0.869834	0.963431
0.761663	0.869956	0.963441
0.762597	0.870101	0.963453
0.763505	0.870253	0.963464
0.764301	0.870403	0.963472
0.765027	0.870479	0.963465
0.765563	0.870406	0.963458
0.765858	0.870144	0.963464
0.765884	0.869662	0.963492
0.765711	0.86901	0.963555
0.765653	0.868485	0.963609
0.765796	0.868178	0.963649
0.765883	0.867866	0.963685
0.765849	0.867469	0.963728
0.765915	0.867162	0.963771
0.766128	0.867004	0.963795
0.766358	0.86688	0.963811
0.766556	0.866752	0.963817
0.766716	0.866615	0.963821
0.766838	0.866467	0.963822
